codeattribute_id,attribute_type,name_ko
1,texture,패딩
2,texture,무스탕
3,texture,퍼프
4,texture,네오프렌
5,texture,코듀로이
6,texture,트위드
7,texture,자카드
8,texture,니트
9,texture,페플럼
10,texture,레이스
11,texture,스판덱스
12,texture,메시
13,texture,비닐/PVC
14,texture,데님
15,texture,울/캐시미어
16,texture,저지
17,texture,시퀸/글리터
18,texture,퍼
19,texture,헤어 니트
20,texture,실크
21,texture,린넨
22,texture,플리스
23,texture,시폰
24,texture,스웨이드
25,texture,가죽
26,texture,우븐
27,texture,벨벳
28,print,페이즐리
29,print,하트
30,print,지그재그
31,print,깅엄
32,print,하운즈 투스
33,print,도트
34,print,레터링
35,print,믹스
36,print,뱀피
37,print,해골
38,print,체크
39,print,무지
40,print,카무플라쥬
41,print,그라데이션
42,print,스트라이프
43,print,호피
44,print,아가일
45,print,그래픽
46,print,지브라
47,print,타이다이
48,print,플로럴
49,detail,스터드
50,detail,드롭숄더
51,detail,드롭웨이스트
52,detail,레이스업
53,detail,슬릿
54,detail,프릴
55,detail,단추
56,detail,퀄팅
57,detail,스팽글
58,detail,롤업
59,detail,니트꽈베기
60,detail,체인
61,detail,프린지
62,detail,지퍼
63,detail,태슬
64,detail,띠
65,detail,플레어
66,detail,싱글브레스티드
67,detail,더블브레스티드
68,detail,스트링
69,detail,자수
70,detail,폼폼
71,detail,디스트로이드
72,detail,페플럼
73,detail,X스트랩
74,detail,스티치
75,detail,레이스
76,detail,퍼프
77,detail,비즈
78,detail,컷아웃
79,detail,버클
80,detail,포켓
81,detail,러플
82,detail,글리터
83,detail,퍼트리밍
84,detail,플리츠
85,detail,비대칭
86,detail,셔링
87,detail,패치워크
88,detail,리본
89,category,재킷
90,category,조거팬츠
91,category,짚업
92,category,스커트
93,category,가디건
94,category,점퍼
95,category,티셔츠
96,category,셔츠
97,category,팬츠
98,category,드레스
99,category,패딩
100,category,청바지
101,category,점프수트
102,category,니트웨어
103,category,베스트
104,category,코트
105,category,브라탑
106,category,블라우스
107,category,탑
108,category,후드티
109,category,래깅스
